id_viagem;dt_inicio;dt_fim;qt_tempo_previsto;qt_tempo_real;ds_status;nm_linha;ds_origem;ds_destino;qt_nivel_congestionamento_pct;qt_velocidade_media_kmh;dt_transito
3;2026-05-01 06:10:00;2026-05-01 07:37:00;68;87,0;Concluida;Linha Circular 1;Centro;Bairro Industrial;91;10,11;2026-05-01 06:45:00
7;2026-05-01 08:30:00;2026-05-01 09:53:00;84;83,0;Concluida;Linha Beta Oeste;Oeste;Centro;81;14,78;2026-05-01 08:49:00
9;2026-05-01 09:40:00;2026-05-01 10:56:00;77;76,0;Concluida;Linha Universitaria 1;Centro;Universidade Alpha;60;31,34;2026-05-01 10:05:00
12;2026-05-01 11:25:00;2026-05-01 12:06:00;36;41,0;Concluida;Linha Hospital Sul;Hospital Alpha;Centro;69;25,64;2026-05-01 11:43:00
13;2026-05-01 12:00:00;2026-05-01 12:51:00;55;51,0;Concluida;Linha Comercial Norte;Centro;Distrito Comercial;57;36,17;2026-05-01 12:45:00
14;2026-05-01 12:35:00;2026-05-01 13:43:00;62;68,0;Concluida;Linha Comercial Sul;Distrito Comercial;Centro;8;59,2;2026-05-01 12:59:00
15;2026-05-01 13:10:00;2026-05-01 14:36:00;76;86,0;Concluida;Linha Industrial 1;Centro;Polo Industrial;14;47,01;2026-05-01 13:18:00
19;2026-05-01 15:30:00;2026-05-01 16:37:00;72;67,0;Concluida;Linha Parque Verde;Centro;Parque Verde;73;36,25;2026-05-01 15:45:00
23;2026-05-01 17:50:00;2026-05-01 19:17:00;66;87,0;Concluida;Linha Shopping Norte;Centro;Shopping Alpha;35;44,51;2026-05-01 18:22:00
24;2026-05-01 18:25:00;2026-05-01 20:09:00;89;104,0;Concluida;Linha Shopping Sul;Shopping Alpha;Centro;99;9,47;2026-05-01 18:54:00
25;2026-05-01 19:00:00;2026-05-01 20:27:00;73;87,0;Concluida;Linha Terminal Oeste;Terminal Oeste;Centro;33;62,01;2026-05-01 19:45:00
26;2026-05-01 19:35:00;2026-05-01 20:35:00;53;60,0;Concluida;Linha Terminal Leste;Centro;Terminal Leste;68;21,13;2026-05-01 20:07:00
27;2026-05-01 20:10:00;2026-05-01 21:11:00;58;61,0;Concluida;Linha Circular Norte;Norte;Oeste;16;56,98;2026-05-01 20:44:00
28;2026-05-01 20:45:00;2026-05-01 22:43:00;93;118,0;Concluida;Linha Circular Sul;Sul;Leste;21;43,96;2026-05-01 20:56:00
29;2026-05-01 21:20:00;2026-05-01 22:39:00;85;79,0;Concluida;Linha Metropolitana 1;Centro;Cidade Beta;88;21,16;2026-05-01 21:52:00
30;2026-05-01 21:55:00;2026-05-01 23:34:00;76;99,0;Concluida;Linha Metropolitana 2;Cidade Beta;Centro;81;18,19;2026-05-01 22:29:00
31;2026-05-01 22:30:00;2026-05-01 23:37:00;50;67,0;Concluida;Linha Expresso Norte;Terminal Norte;Terminal Sul;71;23,36;2026-05-01 22:48:00
32;2026-05-01 23:05:00;2026-05-02 00:20:00;63;75,0;Concluida;Linha Expresso Sul;Terminal Sul;Terminal Norte;65;21,13;2026-05-01 23:36:00
33;2026-05-01 23:40:00;2026-05-02 00:20:00;35;40,0;Concluida;Linha Escolar 1;Centro;Escola Alpha;7;51,44;2026-05-02 00:18:00
34;2026-05-02 00:15:00;2026-05-02 02:05:00;90;110,0;Concluida;Linha Escolar 2;Escola Alpha;Centro;74;35,29;2026-05-02 00:46:00
37;2026-05-02 05:35:00;2026-05-02 07:08:00;90;93,0;Concluida;Linha Ecologica 1;Parque Verde;Centro;94;11,84;2026-05-02 05:46:00
